iter=274 terr=0.03241 serr=0.51071 act=1141248 obj=99020.17949 diff=0.00442
iter=275 terr=0.03252 serr=0.50939 act=1141248 obj=98584.90632 diff=0.00440
iter=276 terr=0.03219 serr=0.50808 act=1141248 obj=98293.40791 diff=0.00296
iter=277 terr=0.03237 serr=0.51013 act=1141248 obj=98095.23579 diff=0.00202
iter=278 terr=0.03234 serr=0.50992 act=1141248 obj=98038.05864 diff=0.00058
iter=279 terr=0.03221 serr=0.50887 act=1141248 obj=97919.20533 diff=0.00121
iter=280 terr=0.03200 serr=0.50798 act=1141248 obj=97664.94476 diff=0.00260
iter=281 terr=0.03171 serr=0.50677 act=1141248 obj=97266.43404 diff=0.00408
iter=282 terr=0.03160 serr=0.50399 act=1141248 obj=96977.11503 diff=0.00297
iter=283 terr=0.03120 serr=0.50173 act=1141248 obj=96633.12929 diff=0.00355
iter=284 terr=0.03114 serr=0.50262 act=1141248 obj=96403.16495 diff=0.00238
iter=285 terr=0.03113 serr=0.50136 act=1141248 obj=96289.60865 diff=0.00118
iter=286 terr=0.03103 serr=0.49963 act=1141248 obj=96067.29846 diff=0.00231
iter=287 terr=0.03095 serr=0.49827 act=1141248 obj=95771.69505 diff=0.00308
iter=288 terr=0.03068 serr=0.49522 act=1141248 obj=95363.33903 diff=0.00426
iter=289 terr=0.03208 serr=0.50719 act=1141248 obj=96872.21421 diff=0.01582
iter=290 terr=0.03075 serr=0.49669 act=1141248 obj=95279.54192 diff=0.01644
iter=291 terr=0.03063 serr=0.49549 act=1141248 obj=95080.99670 diff=0.00208
iter=292 terr=0.03068 serr=0.49753 act=1141248 obj=94931.64559 diff=0.00157
